unit:id:admin	unit:name	unit:classification	unit:relation_type	unit:related_unit_id:admin	unit:related_unit	unit:related_unit_class	unit:related_unit_first_cited_date	unit:related_unit_first_cited_date_start	unit:related_unit_last_cited_date	unit:related_unit_open
1a64b83d-7767-4c6d-9474-6ee4ada1a8d8	Comité National pour le Salut du Peuple	Government;Military;Police								
4fac1035-4181-4b84-bb0b-dc08d840d631	Président de la République	Government;Military;Police								
b2b852b4-00bc-42c7-a59e-05cf098ad512	1 Bataillon Burkinabè	Peacekeeping	child	e1129681-d051-406c-b054-d2539be3ece5	Secteur Ouest	Command	2015-08-04	N		N
054a83ea-b8c0-4d8c-a434-cd77323baea7	1 Bataillon de l'armée reconsituée	Army;Military	child	07f598aa-5bde-48cd-913b-9b0b59d7347e	7 Région Militaire	Command				
786a3fc2-a747-4d4c-9794-c8bdd38db379	"1 Groupement Tactique Interarmés ""Waraba"""	Military	child	cd3fb3e8-355c-47c4-a47d-9e1ee1cabfc9	3 Région Militaire	Command	2015-02-23	N		Y
505d162a-fcea-4490-9cd9-530c9f9549e3	1 Nigerian Battalion (AFISMA)	Peacekeeping	child	a2f224b0-21fb-4ee9-8139-50c781a0d684	African-led International Support Mission in Mali	Command	2013-01-	Y	2013-07-02	E
b4db1ecf-a93b-45a7-a3a1-9f51a50a4b51	1 Région Aérienne	Air Force;Military	child	a842298f-3da3-4c87-a994-0ef8c98a5c36	Armée de l’Air	Command	2016-08-16	N		Y
7214a59a-43b5-4406-9a2f-42487a7ffc2a	1 Région Militaire	Army;Military	child	e2de48e7-59e7-4a1d-922e-2859d3c77151	Armée de Terre	Command	2009-03-04	N	2018-12-22	Y
3405f69a-ea76-4454-baf6-e5fae79958ca	112 Compagnie d’Infanterie Motorisé	Army;Military	child	6393aa1d-66d6-44c9-b41a-2038ed94a7e0	Unknown Régiment (1 Région Militaire)	Command	2006-09-01	N		N
cd8c7172-6a93-4080-911e-b9b46eeb75a6	12 Régiment Mixte	Military	child	edc10df6-4aac-4077-96d1-e66ff37500f1	Unknown Région Militaire	Command	2008	N	2010	N
643d2b34-2fb1-4baa-948b-6f8c4dd4048c	121 Compagnie de Commandement d’Appui et de Services	Army;Military	child	f71fe3e9-a1d4-40de-a2d9-b3b619d510e9	Unknown Régiment	Command	1997	N		N
f45f059f-b32e-4cd1-a58d-63cfdf99cf49	123 Escadron de Reconnaissance	Army;Military	child	f71fe3e9-a1d4-40de-a2d9-b3b619d510e9	Unknown Régiment	Command				N
5ce22109-a762-4cd6-9dc1-877f5e8d79f7	13 Régiment Mixte	Army;Military	child	7214a59a-43b5-4406-9a2f-42487a7ffc2a	1 Région Militaire	Command	2003-02-15	N	2020-04-17	Y
1818526c-d621-4428-842d-8222f153026c	131 Compagnie de Commandement d’Appui et de Services	Army;Military	child	6393aa1d-66d6-44c9-b41a-2038ed94a7e0	Unknown Régiment (1 Région Militaire)	Command	2012	N	2014-08-18	Y
a6a57950-ef8f-4a83-a921-e3b996110950	132 Compagnie d’Infanterie Motorisé	Military	child	5ce22109-a762-4cd6-9dc1-877f5e8d79f7	13 Régiment Mixte	Command	2017-11-22	N		Y
1ebcea4f-56c6-4b73-97a7-583508bf1183	133 Escadron de Reconnaissance	Army;Military	child	6393aa1d-66d6-44c9-b41a-2038ed94a7e0	Unknown Régiment (1 Région Militaire)	Command	2002	N	2020	Y
76241c49-c29a-4734-a212-99d05a383819	134 Escadron de Reconnaissance	Army;Military	child	6393aa1d-66d6-44c9-b41a-2038ed94a7e0	Unknown Régiment (1 Région Militaire)	Command	1997	N		N
d4c561e6-7145-4aff-a395-73805a7931be	135 Compagnie de Commandement d’Appui et de Services	Army;Military	child	6393aa1d-66d6-44c9-b41a-2038ed94a7e0	Unknown Régiment (1 Région Militaire)	Command	2018-07-26	N		Y
1070e746-3e87-4e9d-9b0f-296e0905d980	14 Régiment Mixte	Military	child	7214a59a-43b5-4406-9a2f-42487a7ffc2a	1 Région Militaire	Command	2020-01-29	N		Y
dbbaad64-2ee3-4769-a0bf-25b87eb18537	142 Compagnie d’Infanterie Motorisé	Military	child	6393aa1d-66d6-44c9-b41a-2038ed94a7e0	Unknown Régiment (1 Région Militaire)	Command	2010-06-15	N	2010-07-27	N
10acfd19-a17d-4c74-8ece-4ade779da13f	2 Bataillon Burkinabè	Peacekeeping	child	e1129681-d051-406c-b054-d2539be3ece5	Secteur Ouest	Command	2015-07	Y		N
d4da4adf-7e19-457c-9527-9a3741a36878	"2 Groupement Tactique Interarmés ""Elou"""	Army;Military	child	7e0d5691-9ffa-4058-8dbb-ed0473e8329d	6 Région Militaire	Command	2018	N		N
d71d8a04-62bc-449c-b154-654bea2b9699	2 Groupement Territoriale (Garde Nationale)	National Guard;Military	child	af7888d6-e892-417b-8d09-b197ab071d99	Garde Nationale	Command	2017-02-22	N	2019-12-31	Y
d0d3e29a-9338-4ba0-b41c-2b408054fa91	2 Région Aérienne	Air Force;Military	child	a842298f-3da3-4c87-a994-0ef8c98a5c36	Armée de l’Air	Command	2020-04-11	N		Y
48713a8a-cbf0-494f-a0e6-6902e9d6db50	2 Région Militaire	Army;Military	child	e2de48e7-59e7-4a1d-922e-2859d3c77151	Armée de Terre	Command	2009-03-04	Y	2018-05-09	Y
a072692f-0853-440c-8f33-045bfcce3d75	21 Régiment Mixte	Army;Military	child	48713a8a-cbf0-494f-a0e6-6902e9d6db50	2 Région Militaire	Command	2018-06-26	N		Y
cea22704-931e-4ffb-85c4-0971acb67b58	211 Compagnie de Commandement d’Appui et de Services	Army;Military	child	1e5e4bc9-1d35-438e-89fc-17fb24d38aa4	Unknown Régiment (2 Région Militaire)	Command	1993-08-01	N	2017-05-02	Y
6fae8d8e-c1f5-41fc-95c3-e88ba49fe800	212 Compagnie d’Infanterie Motorisée	Army;Military	child	1e5e4bc9-1d35-438e-89fc-17fb24d38aa4	Unknown Régiment (2 Région Militaire)	Command	1994-11-28	N	2019-05-10	N
3da471b0-23bb-476e-a32d-e1c9d1e2f0ae	213 Compagnie d’Infanterie Motorisée	Military	child	1e5e4bc9-1d35-438e-89fc-17fb24d38aa4	Unknown Régiment (2 Région Militaire)	Command	2018-06-26	N		Y
6db51a38-6a12-424b-bf38-aab22e20927b	213 Compagnie d’infanterie Motorisée	Army;Military	child	1e5e4bc9-1d35-438e-89fc-17fb24d38aa4	Unknown Régiment (2 Région Militaire)	Command	2017-05-02	N		N
c96dfe81-feaa-49c7-b9ca-bcdbc90bd3fe	214 Escadron de Reconnaissance	Army;Military	child	1e5e4bc9-1d35-438e-89fc-17fb24d38aa4	Unknown Régiment (2 Région Militaire)	Command	2007-03-13	N		Y
67b8bc13-1837-4eb5-8053-5e4f1c262380	215 Bataillon d'Artillerie	Military	child	1e5e4bc9-1d35-438e-89fc-17fb24d38aa4	Unknown Régiment (2 Région Militaire)	Command	2017-05-02	N		Y
8eb2d552-a522-4ffe-b450-3eee1d24c077	216 Compagnie de Soutien et d’Instruction	Army;Military	child	1e5e4bc9-1d35-438e-89fc-17fb24d38aa4	Unknown Régiment (2 Région Militaire)	Command	2007	N	2017-05-05	N
77daa8f3-65a6-42c0-bb78-59375eeab4eb	217 Compagnie de Soutien	Army;Military	child	1e5e4bc9-1d35-438e-89fc-17fb24d38aa4	Unknown Régiment (2 Région Militaire)	Command	2006-01-15	N	2017-05-02	N
6c56f047-d989-4965-b28e-f28a4e437168	22 Régiment	Army;Military	child	48713a8a-cbf0-494f-a0e6-6902e9d6db50	2 Région Militaire	Command	2012-06-01	N		Y
59ffb1e4-a6e7-4b30-8f3a-e88844b767b3	221 Compagnie de Commandement d’Appui et de Services	Military	child	1e5e4bc9-1d35-438e-89fc-17fb24d38aa4	Unknown Régiment (2 Région Militaire)	Command	2017-05-02	N		Y
4794e5b7-8ef5-4e86-b21d-cb8e442348b9	222 Compagnie	Army;Military	child	1e5e4bc9-1d35-438e-89fc-17fb24d38aa4	Unknown Régiment (2 Région Militaire)	Command	2016-07-04	N		Y
07738236-6c57-425f-9801-4a48abeca543	224 Escadron de Reconnaissance	Army;Military	child	f71fe3e9-a1d4-40de-a2d9-b3b619d510e9	Unknown Régiment	Command	2010-11-01	N		Y
dab6d79d-6a8f-49b8-9e98-7c5a68e7aba6	26 Bataillon des Travaux du Génie	Military	child	48713a8a-cbf0-494f-a0e6-6902e9d6db50	2 Région Militaire	Command	2017-05-05	N	2017-11-25	Y
c5f9d223-1fde-4cbc-a2f2-818272227c23	261 Compagnie de Commandement et des Services du Génie	Military	child	dab6d79d-6a8f-49b8-9e98-7c5a68e7aba6	26 Bataillon des Travaux du Génie	Command	2017-05-02	N	2017-05-05	Y
78658768-401e-4ff5-8501-925cf99d819b	"3 Groupement Tactique Interarmés ""Sigui"""	Military	child	3773c0fe-2026-4d10-917e-da37e675c58e	4 Région Militaire	Command	2017-11-26	N		Y
cd3fb3e8-355c-47c4-a47d-9e1ee1cabfc9	3 Région Militaire	Army;Military	child	e2de48e7-59e7-4a1d-922e-2859d3c77151	Armée de Terre	Command	2009-03-04	N	2018-07-12	Y
1abfbbe6-86ab-4bed-9861-1b6a80cd8bce	31 Régiment de commandement et de service	Army;Military	child	cd3fb3e8-355c-47c4-a47d-9e1ee1cabfc9	3 Région Militaire	Command	2016-08-31	N	2018-07-12	Y
34730d5b-30a6-4067-a24d-680c59ed1c6b	311 Compagnie de Commandement d’Appui et de Services	Army;Military	child	1abfbbe6-86ab-4bed-9861-1b6a80cd8bce	31 Régiment de commandement et de service	Command	2014-08-18	N	2014-08-21	Y
7f6f245d-7922-4596-8950-8c15dc7c996b	312 Compagnie des Transmissions des Armées	Army;Military	child	3637ab1e-85a9-409b-b1a8-fcb54a8ecee6	Unknown Régiment (3 Région Militaire)	Command	2014-08-18	N		Y
fd88c5df-e556-4caa-98c7-753f9614b6e0	313 Batterie de Soutien	Army;Military	child	3637ab1e-85a9-409b-b1a8-fcb54a8ecee6	Unknown Régiment (3 Région Militaire)	Command	2015-08-03	N	2016-06-10	Y
f1be0f5e-04e9-4483-8024-5fbc13f0b433	314 Compagnie d’Infanterie Motorisée	Army;Military	child	f71fe3e9-a1d4-40de-a2d9-b3b619d510e9	Unknown Régiment	Command	2009-04-14	N	2010-10-14	Y
aaeb6dc4-9011-42a5-b392-262ea5faff59	32 Régiment d’Infanterie Motorisée	Army;Military	child	cd3fb3e8-355c-47c4-a47d-9e1ee1cabfc9	3 Région Militaire	Command	2016-08-31	N	2018-07-12	Y
df66db72-9a9c-417f-b099-49e1a1bfbb67	321 Compagnie de Commandement d’Appui et de Services	Army;Military	child	3637ab1e-85a9-409b-b1a8-fcb54a8ecee6	Unknown Régiment (3 Région Militaire)	Command	2020-09-03	N		N
93369e49-12f4-468d-ace7-60f25e7f9117	322 Compagnie d’Infanterie Motorisée	Army;Military	child	3637ab1e-85a9-409b-b1a8-fcb54a8ecee6	Unknown Régiment (3 Région Militaire)	Command	1994	Y	2015-02-16	Y
92d27c42-6284-405f-8f5c-9c49df459ffa	323 Compagnie de Soutien	Army;Military	child	3637ab1e-85a9-409b-b1a8-fcb54a8ecee6	Unknown Régiment (3 Région Militaire)	Command	2019	N		N
45bb4fae-5f2d-4790-b512-955d43cfb9a6	324 Compagnie d’Infanterie Motorisée	Army;Military	child	aaeb6dc4-9011-42a5-b392-262ea5faff59	32 Régiment d’Infanterie Motorisée	Command	2020-12-19	N		N
4bd398c3-5c6f-4caf-80f5-0dc669a544ee	33 Régiment des Commandos Parachutistes	Army;Military	child	cd3fb3e8-355c-47c4-a47d-9e1ee1cabfc9	3 Région Militaire	Command	2013-03-27	N	2020-01-24	Y
15532ecc-0de0-46b4-9439-376e74de8255	331 Compagnie des Commandos Parachutistes	Army;Military	child	4bd398c3-5c6f-4caf-80f5-0dc669a544ee	33 Régiment des Commandos Parachutistes	Command	2016-01-20	N	2020-01-24	Y
e602a49c-3862-4e11-9a45-5834d124b51d	332 Compagnie des Commandos Parachutistes	Army;Military	child	4bd398c3-5c6f-4caf-80f5-0dc669a544ee	33 Régiment des Commandos Parachutistes	Command	2016-01-20	N	2020-01-24	Y
c9cb58c3-8d45-4796-bd47-1c4b2147465b	333 Compagnie des Commandos Parachutistes	Army;Military	child	4bd398c3-5c6f-4caf-80f5-0dc669a544ee	33 Régiment des Commandos Parachutistes	Command	2020-01-24	N		Y
3246d8be-5a93-4459-bfd2-077695725484	334 Compagnie des Commandos Instruction de la Troupe Aéroportée	Army;Military	child	4bd398c3-5c6f-4caf-80f5-0dc669a544ee	33 Régiment des Commandos Parachutistes	Command	2020-01-24	N		Y
b581cd24-6cf7-4443-b6e7-fdbd5e09129d	34 Bataillon du Génie Militaire	Army;Military	child	cd3fb3e8-355c-47c4-a47d-9e1ee1cabfc9	3 Région Militaire	Command	2014-08-18	N	2014-08-21	Y
7706253d-8b20-4137-a99a-7208854c9d44	341 Compagnie de Commandement des Services Techniques du Génie	Army;Military	child	b581cd24-6cf7-4443-b6e7-fdbd5e09129d	34 Bataillon du Génie Militaire	Command	2014-08-18	N	2014-08-21	Y
963b4dd4-247a-42cf-934f-5331f8662905	342 Compagnie de Franchissement du Génie	Army;Military	child	3637ab1e-85a9-409b-b1a8-fcb54a8ecee6	Unknown Régiment (3 Région Militaire)	Command	2020-09-03	N		N
33669c5a-392b-4842-b83f-b6551d2e6a39	343 Compagnie des Pontons du Génie	Army;Military	child	b581cd24-6cf7-4443-b6e7-fdbd5e09129d	34 Bataillon du Génie Militaire	Command	2014-08-18	N	2014-08-21	Y
7402d8bb-1e71-4c8e-a9e0-748cfa7aa9eb	35 Régiment Blindé	Army;Military	child	cd3fb3e8-355c-47c4-a47d-9e1ee1cabfc9	3 Région Militaire	Command	2004-07-28	N	2018-07-12	Y
5f9458e5-692f-4141-af5c-485e14a68567	351 Escadron de Reconnaissance	Army;Military	child	7402d8bb-1e71-4c8e-a9e0-748cfa7aa9eb	35 Régiment Blindé	Command	2004-07-28	N	2005-06-11	Y
7f82b137-2381-4fa0-84da-0be6626ea471	353 Compagnie de Commandement d’Appui et de Services	Army;Military	child	3637ab1e-85a9-409b-b1a8-fcb54a8ecee6	Unknown Régiment (3 Région Militaire)	Command	1998	N		Y
ed047b0b-6225-42d1-a583-eeb061817187	36 Régiment d’Artillerie	Army;Military	child	cd3fb3e8-355c-47c4-a47d-9e1ee1cabfc9	3 Région Militaire	Command	2016-08-31	N	2018-07-12	Y
bb85c7c0-a72b-4231-90dc-d5a72583ba1e	362 Bataillon d'Artillerie	Army;Military	child	ed047b0b-6225-42d1-a583-eeb061817187	36 Régiment d’Artillerie	Command	2004-08-23	N	2005-02-25	Y
48a8e3e4-c1b4-4c44-be30-8f225412b25a	363 Bataillon d'Artillerie	Army;Military	child	ed047b0b-6225-42d1-a583-eeb061817187	36 Régiment d’Artillerie	Command	2011-02-07	N	2011-03-11	Y
a3759141-03b6-4529-b60a-d89ad778d968	37 Régiment des Transports et d’Entretien	Army;Military	child	cd3fb3e8-355c-47c4-a47d-9e1ee1cabfc9	3 Région Militaire	Command	2016-08-31	N	2018-07-12	Y
3b3f8c87-363e-42eb-a885-38deb31ba5ee	371 Compagnie de Commandement d’Appui et de Services	Army;Military	child	f71fe3e9-a1d4-40de-a2d9-b3b619d510e9	Unknown Régiment	Command	2016-06-02	N	2016-09-23	Y
27b5dae2-5c0c-4f82-823f-39cc81155e90	"4 Groupement Tactique Interarmés ""Balanzan"""	Military	child	48713a8a-cbf0-494f-a0e6-6902e9d6db50	2 Région Militaire	Command	2015-02-23	N		Y
3773c0fe-2026-4d10-917e-da37e675c58e	4 Région Militaire	Army;Military	child	e2de48e7-59e7-4a1d-922e-2859d3c77151	Armée de Terre	Command	2009-03-04	Y	2018-11-05	Y
1be55c9e-7e2f-47f3-a14c-9a38d08d14b1	412 Compagnie d’Infanterie Motorisé	Army;Military	child	39853f07-8559-46d0-98e9-d58ebbc06475	Unknown Régiment (4 Région Militaire)	Command	1994	N	2011-06-17	Y
d613de7a-22b2-4ed3-bb77-543e8419f74c	414 Bataillon d'Artillerie	Army;Military	child	f71fe3e9-a1d4-40de-a2d9-b3b619d510e9	Unknown Régiment	Command	2011-04-25	N	2011-04-29	Y
7f6548b6-ebef-4fe7-9f57-b6bd0158e522	42 Régiment	Army;Military	child	3773c0fe-2026-4d10-917e-da37e675c58e	4 Région Militaire	Command	2016-07-04	N		Y
b9aa4c02-d270-4b78-9788-3ee263a2199e	422 Compagnie d’Infanterie Motorisé	Army;Military	child	f71fe3e9-a1d4-40de-a2d9-b3b619d510e9	Unknown Régiment	Command	2020-05-11	N		Y
ff1a0ce4-bb98-4bf1-83c6-a8d483ae88db	"5 Groupement Tactique Interarmés ""Débo"""	Military	child	7e0d5691-9ffa-4058-8dbb-ed0473e8329d	6 Région Militaire	Command	2015-02-23	N		Y
a4eee7cc-b4f3-4e91-be52-885367f6409f	5 Région Militaire	Army;Military	child	e2de48e7-59e7-4a1d-922e-2859d3c77151	Armée de Terre	Command	2009-03-04	N	2019-01-24	Y
25aebc5c-6397-44f4-b97c-23470fa9a8db	51 Régiment mixte	Army;Military	child	a4eee7cc-b4f3-4e91-be52-885367f6409f	5 Région Militaire	Command	2017-09-15	N	2019-08-14	Y
d49c887d-c9da-412e-a71d-9c07c4af3d79	511 Compagnie de Commandement d’Appui et de Services	Army;Military	child	b17224db-45fc-4cb1-b568-3035e9517a11	Unknown Régiment (5 Région Militaire)	Command	2014-08-18	N	2014-08-21	Y
596e9506-798f-478e-9dd5-058e1595902c	512 Compagnie d’Infanterie Motorisé	Army;Military	child	b17224db-45fc-4cb1-b568-3035e9517a11	Unknown Régiment (5 Région Militaire)	Command	2020-05-	N		Y
6b6d10c3-852b-44e6-b94f-ec6514bb4c1e	514 Escadron de Reconnaissance	Army;Military	child	b17224db-45fc-4cb1-b568-3035e9517a11	Unknown Régiment (5 Région Militaire)	Command				N
bbcf12be-7148-4329-9214-7eeed3b45072	515 Bataillon d'Artillerie	Army;Military	child	b17224db-45fc-4cb1-b568-3035e9517a11	Unknown Régiment (5 Région Militaire)	Command	2014-08-18	N	2014-08-21	Y
e7cf8f43-8e9d-4464-b45f-30e05177e989	52 Régiment mixte	Military	child	a4eee7cc-b4f3-4e91-be52-885367f6409f	5 Région Militaire	Command	2017-09-15	N	2020-02-11	Y
e418e164-c997-4724-8136-bb5396e23081	521 Compagnie de Commandement d’Appui et de Services	Army;Military	child	b17224db-45fc-4cb1-b568-3035e9517a11	Unknown Régiment (5 Région Militaire)	Command	2004-09-13	N	2004-09-17	N
6c6888e6-148f-4562-bf41-4dcc30542ac1	522 Compagnie d’Infanterie Motorisée	Army;Military	child	b17224db-45fc-4cb1-b568-3035e9517a11	Unknown Régiment (5 Région Militaire)	Command	2019-12-23	N		Y
84f74a36-5d75-409e-af6e-2a744f11f719	"6 Groupement Tactique Interarmés ""Al Farouk"""	Army;Military	child	a4eee7cc-b4f3-4e91-be52-885367f6409f	5 Région Militaire	Command	2015-07-22	N	2017-09-15	Y
7e0d5691-9ffa-4058-8dbb-ed0473e8329d	6 Région Militaire	Army;Military	child	e2de48e7-59e7-4a1d-922e-2859d3c77151	Armée de Terre	Command	2009-03-04	Y	2018-03-19	Y
c77a31d5-2072-421e-9efb-7eb32515440b	61 Régiment mixte	Army;Military	child	7e0d5691-9ffa-4058-8dbb-ed0473e8329d	6 Région Militaire	Command	2020-08-03	N		Y
580d15cc-1f65-44e9-8ba7-19af6abbec6f	611 Compagnie de Commandement d’Appui et de Services	Army;Military	child	3f4076b8-097a-4967-bcf9-7ad2736dd650	Unknown Régiment (6 Région Militaire)	Command				N
c051ba39-d73d-431d-a228-2879ac2e3ed8	612 Compagnie d’Infanterie Motorisé	Army;Military	child	3f4076b8-097a-4967-bcf9-7ad2736dd650	Unknown Régiment (6 Région Militaire)	Command	1999	N		Y
8007d1df-66b0-42db-a64f-8b17d891fe15	614 Escadron de Reconnaissance	Army;Military	child	f71fe3e9-a1d4-40de-a2d9-b3b619d510e9	Unknown Régiment	Command	2002-07-12	N	2002-07-15	Y
58b228ba-29f0-4c3e-8464-304a6d22baaa	7 Groupement Tactique Interarmés	Army;Military	child	7214a59a-43b5-4406-9a2f-42487a7ffc2a	1 Région Militaire	Command	2016	N		N
07f598aa-5bde-48cd-913b-9b0b59d7347e	7 Région Militaire	Army;Military	child	e2de48e7-59e7-4a1d-922e-2859d3c77151	Armée de Terre	Command	2009-03-04	Y	2018-08-18	Y
0e4230d8-6252-49d8-8027-416b18d8d0c0	71 Régiment Mixte	Military	child	07f598aa-5bde-48cd-913b-9b0b59d7347e	7 Région Militaire	Command	2017-02-01	N		Y
2ec936db-1c29-4167-8971-9719d76d5c4d	711 Compagnie de Commandement d’Appui et de Services	Army;Military	child	aff36d72-de70-4532-bcc8-3a7108b9d19c	Unknown Régiment (7 Région Militaire)	Command	2014-08-18	N	2014-08-21	Y
890a25d8-d7d3-40ce-b7b4-16cad0ce8ca5	732 Compagnie d’Infanterie Motorisée	Military	child	f71fe3e9-a1d4-40de-a2d9-b3b619d510e9	Unknown Régiment	Command	2016-09-05	N	2016-09-23	Y
9433afa4-72f1-466f-908a-667b204d5348	8 Groupement Tactique Interarmés	Military	child	7214a59a-43b5-4406-9a2f-42487a7ffc2a	1 Région Militaire	Command	2016-10-03	N		N
9dd53a4a-f279-458d-b843-fe24ec6a0b7f	8 Région Militaire	Army;Military	child	e2de48e7-59e7-4a1d-922e-2859d3c77151	Armée de Terre	Command	2009-03-04	Y	2017-10-19	Y
171e5b50-edb1-4dc0-b2b4-bcbb83f0e99e	811 Compagnie de Commandement d’Appui et de Services	Army;Military	child	4abb86d7-cba2-4d3b-b47a-fadb0ed4cafe	Unknown Régiment (8 Région Militaire)	Command	2014-08-18	N	2014-08-21	N
2edd1237-6417-4343-ab1e-47efa06aa2bb	812 Compagnie d’Infanterie Motorisée	Military	child	f71fe3e9-a1d4-40de-a2d9-b3b619d510e9	Unknown Régiment	Command	2009-12-28	N	2010-07-06	Y
79286995-e750-4068-8a6f-1a9068189fc3	823 Escadron de Reconnaissance	Military	child	4abb86d7-cba2-4d3b-b47a-fadb0ed4cafe	Unknown Régiment (8 Région Militaire)	Command	2017-04-10	N	2018-06-15	Y
4a5761f4-6eb4-4149-8507-1b8587bfa1c4	824 Bataillon d'Artillerie	Military	child	4f4ec723-43e8-4c7a-8472-33c750598e9c	Opération Maliko Secteur 5	Command	2021-02-14	N		N
